time, wave, castedWave, filteredWave
0.002744, -954.517578, -954.517578, -0.117813
0.002766, -609.467346, -609.467346, -0.096390
0.002789, -42.732796, -42.732788, -0.039856
0.002812, 539.550537, 539.550537, 0.031143
0.002834, 925.575195, 925.575195, 0.090820
0.002857, 974.928101, 974.928101, 0.117477
0.002880, 669.658325, 669.658325, 0.101379
0.002902, 120.810097, 120.810089, 0.048431
0.002925, -471.986847, -471.986847, -0.022156
0.002948, -893.098206, -893.098206, -0.084686
0.002971, -989.355286, -989.355286, -0.116379
0.002993, -725.743896, -725.743896, -0.105789
0.003016, -198.145966, -198.145966, -0.056671
0.003039, 401.526489, 401.526489, 0.013000
0.003061, 855.142517, 855.142517, 0.078033
0.003084, 997.710693, 997.710693, 0.114563
0.003107, 777.370728, 777.370728, 0.109543
0.003129, 274.265778, 274.265778, 0.064560
0.003152, -328.595978, -328.595978, -0.003784
0.003175, -811.938721, -811.938721, -0.070877
0.003197, -999.942871, -999.942871, -0.112061
0.003220, -824.226746, -824.226746, -0.112625
0.003243, -348.708282, -348.708282, -0.072067
0.003265, 253.654541, 253.654541, -0.005447
0.003288, 763.751831, 763.751831, 0.063293
0.003311, 996.037842, 996.037842, 0.108871
0.003333, 866.024292, 866.024292, 0.115005
0.003356, 421.004669, 421.004669, 0.079147
0.003379, -177.156403, -177.156403, 0.014648
0.003401, -710.873291, -710.873291, -0.055313
0.003424, -986.019958, -986.019958, -0.105026
0.003447, -902.509644, -902.509644, -0.116669
0.003469, -490.717255, -490.717255, -0.085739
0.003492, 99.564758, 99.564758, -0.023758
0.003515, 653.636108, 653.636108, 0.047012
0.003537, 969.950684, 969.950684, 0.100525
0.003560, 933.453064, 933.453064, 0.117615
0.003583, 557.418213, 557.418213, 0.091812
0.003605, -21.368259, -21.368256, 0.032700
0.003628, -592.387390, -592.387390, -0.038376
0.003651, -947.926697, -947.926697, -0.095444
0.003673, -958.667664, -958.667664, -0.117828
0.003696, -620.703186, -620.703186, -0.097321
0.003719, -56.959377, -56.959366, -0.041458
0.003741, 527.503113, 527.503113, 0.029541
0.003764, 920.086609, 920.086609, 0.089737
0.003787, 977.998779, 977.998779, 0.117340
0.003810, 680.173523, 680.173523, 0.102234
0.003832, 134.937439, 134.937439, 0.049957
0.003855, -459.375854, -459.375854, -0.020508
0.003878, -886.599854, -886.599854, -0.083496
0.003900, -991.328552, -991.328552, -0.116119
0.003923, -735.469604, -735.469604, -0.106506
